outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2015,2016 - 2017,780,0.41305555555555556,0.4991822751322752,0.1495238095238095
v2x_freexp_altinf,2015,2016 - 2017,781,0.15833333333333333,0.6218981481481481,0.2611111111111111
v2x_freexp_altinf,2015,2016 - 2017,790,0.034444444444444444,0.7315105085243974,0.2423941798941799
v2x_freexp_altinf,2015,2016 - 2017,800,0.23251587301587306,0.6188196090534979,0.19370370370370368
v2x_freexp_altinf,2015,2016 - 2017,811,0.07055555555555557,0.8805312570145903,0.052626262626262625
v2x_freexp_altinf,2015,2016 - 2017,812,0.04125,0.9389358333333334,0.020666666666666667
v2x_freexp_altinf,2015,2016 - 2017,816,0.05858465608465608,0.9142189006466784,0.028888888888888888
v2x_freexp_altinf,2015,2016 - 2017,820,0.04492592592592593,0.9338502057613168,0.022222222222222223
v2x_freexp_altinf,2015,2016 - 2017,830,0.08128278067476097,0.900087675711144,0.020277777777777777
v2x_freexp_altinf,2015,2016 - 2017,840,0.030555555555555555,0.7262754629629631,0.2508333333333333
v2x_freexp_altinf,2015,2016 - 2017,850,0.03777777777777778,0.8941539094650205,0.07074074074074074
v2x_freexp_altinf,2015,2016 - 2017,860,0.08222222222222222,0.7341542386831276,0.2000740740740741
v2x_freexp_altinf,2015,2016 - 2017,900,0.0011111111111111111,0.9733617283950617,0.025555555555555557
v2x_freexp_altinf,2015,2016 - 2017,910,0.024166666666666666,0.8997996527777778,0.07791666666666666
v2x_freexp_altinf,2015,2016 - 2017,920,0.0011111111111111111,0.9988888888888889,0
v2x_freexp_altinf,2015,2016 - 2017,940,0.04638888888888889,0.897454012345679,0.058888888888888886
v2x_freexp_altinf,2015,2016 - 2017,950,0.3174074074074074,0.6156353155006858,0.09809259259259259
v2x_freexp_altinf,2016,2017 - 2018,2,0.011111111111111112,0.901537037037037,0.08833333333333333
v2x_freexp_altinf,2016,2017 - 2018,20,0.0022222222222222222,0.9866913580246914,0.011111111111111112
v2x_freexp_altinf,2016,2017 - 2018,40,0.21366166960611407,0.702462241818538,0.10666666666666667
v2x_freexp_altinf,2016,2017 - 2018,41,0.3270793650793651,0.6189623691945915,0.08018518518518519
v2x_freexp_altinf,2016,2017 - 2018,42,0.0357037037037037,0.8890276131687244,0.07805555555555556
v2x_freexp_altinf,2016,2017 - 2018,51,0.0022222222222222222,0.9877076131687244,0.01009259259259259
v2x_freexp_altinf,2016,2017 - 2018,52,0.008888888888888889,0.9721148148148149,0.019166666666666665
v2x_freexp_altinf,2016,2017 - 2018,53,0.0013580246913580249,0.9867389699463773,0.011919191919191918
v2x_freexp_altinf,2016,2017 - 2018,70,0.042222222222222223,0.7468538271604938,0.2202222222222222
v2x_freexp_altinf,2016,2017 - 2018,90,0.03666666666666667,0.8816283950617284,0.08481481481481483
v2x_freexp_altinf,2016,2017 - 2018,91,0.047462962962962964,0.8953848148148148,0.06
v2x_freexp_altinf,2016,2017 - 2018,92,0.03788888888888889,0.9002865637860082,0.06425925925925927
